what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496408240135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496408250210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417041909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417042246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417050176
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496417059472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417065935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1496417196921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496417200103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496417204649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496417317487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496417318812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496417335780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496417336859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496417425007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1496417453501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417453591
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496417454514
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496417474479
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496417479768
executed,command,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors.lineNumberToggle",1496417485925
executed,command,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors.lineNumberToggle",1496417488506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417518009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417521882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1496417825950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1496417826825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417828633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417831444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417870883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417874454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417877846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496417878528
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496417878777
opened,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1496417889912
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1496417890131
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496417890259
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1496417896296
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1496417896468
closed,editor,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.editor",1496417896472
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1496417899038
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1496417902708
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1496417903927
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1496417906034
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1496417906101
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1496417907448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496419995726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496420264283
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1496420286530
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1496420286556
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1496420290802
